STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120305,-9999,54,44,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120306,-9999,53,45,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120307,-9999,62,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120308,-9999,62,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120309,-9999,70,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120310,-9999,55,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120311,-9999,57,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120312,-9999,60,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120313,-9999,55,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120314,-9999,57,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120315,-9999,59,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120316,-9999,58,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120317,-9999,51,45,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120318,-9999,51,44,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120319,-9999,55,43,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120320,-9999,60,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120321,-9999,65,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120322,-9999,57,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120323,-9999,60,44,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120324,-9999,54,43,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120325,-9999,55,44,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120326,-9999,57,45,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120327,-9999,58,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120328,-9999,63,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120329,-9999,61,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120330,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120331,-9999,60,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120401,-9999,55,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120402,-9999,64,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120403,-9999,62,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120404,-9999,54,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120405,-9999,53,43,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120406,-9999,58,43,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120407,-9999,65,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120408,-9999,65,45,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120409,-9999,67,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120410,-9999,56,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120411,-9999,59,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120412,-9999,62,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120413,-9999,55,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120414,-9999,60,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120415,-9999,60,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120416,-9999,59,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120417,-9999,59,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120418,-9999,63,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120419,-9999,65,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120420,-9999,77,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120421,-9999,79,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120422,-9999,60,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120423,-9999,66,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120424,-9999,66,58,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120425,-9999,67,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120426,-9999,59,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120427,-9999,63,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120428,-9999,66,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120429,-9999,68,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120430,-9999,66,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120501,-9999,59,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120502,-9999,57,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120503,-9999,64,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120504,-9999,60,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120505,-9999,69,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120506,-9999,77,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120507,-9999,79,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120508,-9999,68,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120509,-9999,64,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120510,-9999,71,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120511,-9999,67,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120512,-9999,63,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120513,-9999,61,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120514,-9999,64,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120515,-9999,57,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120516,-9999,54,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120517,-9999,59,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120518,-9999,66,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120519,-9999,66,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120520,-9999,68,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120521,-9999,59,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120522,-9999,62,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120523,-9999,63,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120524,-9999,63,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120525,-9999,63,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120526,-9999,59,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120527,-9999,58,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120528,-9999,59,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120529,-9999,61,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120530,-9999,66,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120531,-9999,72,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120601,-9999,72,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120602,-9999,60,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120603,-9999,61,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120604,-9999,58,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120605,-9999,61,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120606,-9999,63,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120607,-9999,64,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120608,-9999,62,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120609,-9999,70,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120610,-9999,81,57,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120611,-9999,75,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120612,-9999,71,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120613,-9999,63,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120614,-9999,63,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120615,-9999,70,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120616,-9999,86,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120617,-9999,64,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120618,-9999,59,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120619,-9999,66,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120620,-9999,75,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120621,-9999,59,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120622,-9999,64,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120623,-9999,63,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120624,-9999,64,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120625,-9999,66,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120626,-9999,67,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120627,-9999,67,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120628,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120629,-9999,64,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120630,-9999,67,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120701,-9999,63,56,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120702,-9999,63,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120703,-9999,67,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120704,-9999,66,54,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120705,-9999,62,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120706,-9999,65,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120707,-9999,69,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120708,-9999,60,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120709,-9999,61,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120710,-9999,68,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120711,-9999,71,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120712,-9999,66,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120713,-9999,57,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120714,-9999,64,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120715,-9999,63,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120716,-9999,61,53,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120717,-9999,66,55,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120718,-9999,65,56,-9999
